Project ID,Project Name,Project type,Project website,Area of Society,DSI Areas,Social Impact,Technology Focus,Technology method,Timestamp ID,Date and Time
44afefec-aa3c-9e7f-0f94-87eb68d8f571,Do It Together Bio,event,,"energy and environment, science, health and wellbeing, education and skills",new ways of making,"Waag Society connects her activities in the field of biotechnology and the relation between art, design and science to the Fablab methodology. In the Waag building, an Open Wetlab will arise where amateurs work on biotechnology. A part of the technology will be developed during workshops. Together, artists, designers, scientists and amateurs work on prototypes, experiments and works of art.",open knowledge,open source,529511c2-d212-f2f0-8864-59614c419057,8/1/2014
563892f0-b659-2801-afe2-b0edd7e22b59,Living Buddy,education and training,www.livingbuddyapp.com,"children in care and care leavers, learning, education and skills, health and wellbeing, quality of life, disability rights",new ways of making,"We will motivate and guide kids with cognitive disabilities to exercise more and have fun while learning by using numbers, English and Danish language and train with the 4 talking exercise buddies in the app",open knowledge,"social media, personal monitoring, mobile apps, ios and android app, social networks",154882d1-8423-5fba-bee4-da6fd1f98989,
02edfb5b-6d93-4511-8605-e3bf816f5c83,Seamless Cities App Camp,maker and hacker spaces,index.php?kat=about.html&anzeige=about.html,energy and environment,"awareness networks, new ways of making",barrire-free navigation,open knowledge,"open data, mobile apps",91aca40d-ea9d-2992-92a8-f249fb82c629,
6c617ab4-99e2-0522-f661-abd7c4730db1,Hackity App,delivering a web service,,"participation and democracy, neighbourhood regeneration",new ways of making,"Our project improve development assistance and community empowerment.
It helps the public space suits the needs of individuals and groups.",open knowledge,"open data, open source, mobile apps, social networks, big data",4a161220-a0e5-5493-6402-8212d9deba26,
f9b75821-63ae-2bb7-d285-ec9023efd649,Laborlab,research project,laborlab,work and employment,new ways of making,"Generation of a new employment model based in the idea of ""projectum"" instead of ""curriculum"".",open knowledge,"social media, p2p   distributed exchange networks, mobile apps, social networks",1fb70f86-c3fa-487a-969c-79f9b73467de,1/1/2015
43ad1f56-de0b-709f-f045-7210262c94eb,Innovation Development and Training,education and training,www.ortinnovation.com,"jovbseekers, teachers, vulnerables groups, unemployed people",open democracy,"mainstrealing effect, positioning on Future trends lke gamification and Moocs , strategies on open up education initiative","open data, open networks, open knowledge","social networks, online learning models and moocs, big data, social media, personal monitoring, crowdmapping, crowdfunding, open source, open data",2ef26ef6-56a4-9bda-3103-09217388ccb4,12/1/2017
6844c2fd-1050-78ce-64db-3556082215dd,Hack days,event,,"open data, education and skills, public services, innovation, government, participation, citizens, participation and democracy, democracy, apps, public sector, technology, research and development, collaboration, data","open access, open democracy",Rewired State designs and creates hack day events that bring creative developers and industry experts together to solve real-world problems.,"open data, open knowledge","digital tools, hackathons, social networks, apps, hack days, visualisation, open data, api, innovation",4a025c4c-0251-b28c-caeb-d7b8f2a8554d,
fb838de3-7865-8693-da20-23b4731a20bd,The Hackable City,research project,,"health and wellbeing, education and skills, sustainable development, collaborative innovation",awareness networks,The research focuses on the role that digital technology can play within the process of collaborative citymaking.,open data,"online market place, social networks, gaming, platforms",799f8eec-b16c-240a-78d2-f51282c6e6dd,
e59ec054-8b2e-6e12-b889-3aa7702f3846,Travelling Bug House,event,stirchleyhappenings.co.uk,"culture and arts, neighbourhood regeneration","open access, awareness networks, collaborative economy",Building a community network through the screening of films.,open knowledge,"social networks, social media",ea4075c1-a7b8-d3a9-af5c-6f916cd9ddad,
e89b0f9f-4a84-d337-42a1-9d74e6b41b33,COMMUNIA,network,about,work and employment,open democracy,The main goal of the COMMUNIA project is to build a network of organisations that shall become the single European point of reference for high-level policy discussion and strategic action on all issues related to the public domain in the digital environment and related topics.,"open data, open knowledge, open networks","social networks, personal monitoring, open data, open source",5ee5103b-063f-b0d7-6735-51a97f4e2a8a,
5d41c4af-f964-83d4-be7a-dbe93d0dbac5,Bluemove Community,improve urban mobility,www.blue,"urban mobility, energy and environment, neighbourhood regeneration","open democracy, new ways of making, collaborative economy","Community Bluemove allows a better distribution of our resources. The same car could be shared by many people. That improve urban mobility, environment and the family budget.",open networks,"online market place, mobile apps, p2p   distributed exchange networks",a98ae58b-c96d-6b5c-4e40-64e5dc4948e4,
ea867f8f-1e59-43bc-60e9-4fc6d1c66d74,Creative communications for the public sector and not-for-profit organizations,advocating and campaigning,,"work and employment, culture and arts, energy and environment, education and skills, science, health and wellbeing",open democracy,"We hope that the work we do, in some small way, helps extend and expand the impact of the not-for-profit and public sector groups we work with.",open data,"online learning models and moocs, mobile apps, online peer support",110d8bfb-d54c-f26e-830d-bd0220bf47eb,
8688cb85-a26e-a385-6427-61353a1986b3,Makers Guild,maker and hacker spaces,makers-guild,"science, makers movement, digital fabrication, diy, bio arts, technology, bio technology",new ways of making,"It?s at the intersection of individual skills and joint vision, where the recombination of innovative ideas occur most frequently. Such an open-ended environment fosters designers, artists and scientists who make experimental and prototype solutions to urgent social challenges as well as high quality products. ",open hardware,"open source, open data, crowdsourcing, 3d printing, machine learning",091ee4f4-dc34-8554-5e86-34164d20ccc5,
ded2686c-c7ec-9e26-6f04-f8a6b2f54fd9,A bio-hackerspace for the Greater Lausanne Area,maker and hacker spaces,www.hackuarium.ch,"culture and arts, health and wellbeing, energy and environment, neighbourhood regeneration, science, education and skills","collaborative economy, new ways of making, open access","We're providing a different way of making biology, and helping non-specialists to learn it.","open networks, open data, open hardware, open knowledge","crowdsourcing, 3d printing, open source, social media",5e35461e-7169-6754-2806-dd8885315f4b,
5bdafd3d-c898-b08d-ae6f-4b0958734ba3,TuDerechoaSaber.es,delivering a web service,,"access to information, participation, participation and democracy, democracy","open democracy, open access",,open knowledge,"open source, access to information",f018eb45-52c8-4c23-024b-32e20c358a38,
aab51997-f59e-fac2-d9cd-032fe4c468e9,I Wheel Share,delivering a web service,www.iwheelshare.com,participation and democracy,"new ways of making, awareness networks","Thanks to this project we would like the non-disabled to be better informed about disability and open up general access to public amenities for the disabled. Our leitmotiv is Together we are stronger. I strongly believe that participatory projects that originate from the general public reflect a real necessity.
","open networks, open knowledge, open data","online market place, crowdsourcing, mobile apps, geotagging, social networks, crowdmapping",e3cf2b28-90f0-b0cc-3fb2-cb772d618977,
ce8081e9-e699-69b6-7507-dc4a42134779,3L ExArca  Cloud Computing Service ,delivering a web service,,"work and employment, science, education and skills, participation and democracy, finance and economy","open access, collaborative economy, awareness networks, new ways of making, open democracy","Support creation and performance of different collaborative communities in virtual environment. Communities can be either social, professional, business or their combination","open networks, open knowledge","social media, online notice board, online market place, social networks",817c89f3-3e47-a3ed-f734-6f93d7285d57,
8c4c3d02-b106-8148-b2e7-2179948ec4e4,Digital Social Innovation ,research project,www.digitalsocial.eu,"participation and democracy, education and skills","new ways of making, collaborative economy, open access, open democracy, awareness networks","The ultimate aim of the research is to, through an understanding of the potential in using digital technologies to support and scale social innovation,  understand how institutional funders can better engage with and support more digital social innovation to happen at scale across the EU. Building on this the network map of DSI organizations seeks to promote opportunities for collaboration. ","open hardware, open data, open knowledge, open networks","crowdfunding, online learning models and moocs, social networks, big data, open data, crowdmapping, 3d printing, crowdsourcing",fccedebd-6d26-0400-e37c-89f7329d3eb1,10/1/2014
0eec15a1-1306-1358-9f93-bd9919a3e875,Nappi Naapuri - Nifty Neighbour,delivering a web service,nappinaapuri,"participation and democracy, energy and environment, education and skills, health and wellbeing, work and employment, neighbourhood regeneration","new ways of making, collaborative economy","- bring people together
- acquire help, company, advice etc. much more effectively and easily than now
- create more social, safe and sustainable cities

",open networks,"p2p   distributed exchange networks, crowdfunding, online notice board, crowdsourcing, social networks, social media, mobile apps",5590be33-df5e-5eb1-2121-7320604edc0a,
ed114a5e-5834-1c02-0645-29ce68b118c3,SHARE Defense,advocating and campaigning,www.shareconference.net,"education, watchdog, participation and democracy, internet, legal research","open access, open democracy","The SHARE Foundation is a nonprofit organization which fights to protect civil liberties in the digital age. Concerned with the impact of digital communications on everyday lives and human rights, the goal of the Share Foundation is to fight for the public interest in every critical battle affecting digital rights, in the areas of privacy, free speech, government transparency and efficiency, surveillance and human rights. Share Foundati on  is dedicated to protecting the rights of Internet citizens and promoting positive values of openness, decentralization, free access and exchange of knowledge, information and technology. ",open knowledge,"crowdcurating, networking, research, legal frameworks for personal data, e petitions, online peer support",a32e0edb-27d3-06d8-0aca-757ab13d52b3,
d8eb2568-25a0-e50d-d983-d1a995fc0007,Electronic Music School from Bilbao,education and training,www.baffledjs.com,"culture and arts, work and employment, education and skills",new ways of making,"Share our knowledge and create a community of DJs, musicians, audio professionals, producers and spread a genuine passion for music.",open knowledge,"social media, machine learning, personal monitoring",d78f1c03-518b-e868-dc34-f2a8d7006c5e,
49249d36-5b56-912b-4f6c-fba4d7a16f86,Make A Plea,delivering a web service,www.makeaplea.justice.gov.uk,access to justice,"new ways of making, collaborative economy",.,open hardware,"big data, open source",3b65237e-3449-91ab-584e-fe0822cb3ef6,
81165a75-df09-bead-2268-c0d898ddf4ae,Incubation and acceleration of social business start-ups,incubators and accelerators,www.ship2b.org,"women empowerment, corporate citizenship and responsible consumption, health and wellbeing, finance and economy, education and skills, participation and democracy, energy and environment, work and employment, culture and arts",funding acceleration and incubation,"We accelerate social business ideas and entrepreneurs and help fund them through our social business angels club. As a start-up our reach is still small but we have already evaluated over 200 projects, have 5 in incubation, of which 2 currently seeking funding, and we are launching this year our star project B-Ready to accelerate sales and raise funding for 10 social start-ups. For this program we have mobilized over 750.000 EUR in funding and count over 50 members in our social business angels club.",open knowledge,"crowdfunding, crowdsourcing, online market place, social networks, social media",cf7f757c-d416-fe79-60eb-c2c640c18593,
fc39be0d-6725-37c1-6d0e-b9160db513c3,OSCAR (FabToyCar),education and training,index.html,"education and skills, science","awareness networks, funding acceleration and incubation, open democracy, open access, collaborative economy, new ways of making",To raise awareness of the potential of digital fabrication tools and open knowledge. Creating new ways of education empowering co-design between different local and global communities.  ,"open knowledge, open hardware","machine learning, open source, sensors and internet of things",288921ea-5676-44db-8772-3ea5b5297f7b,
7257304c-1c1f-4af8-5e80-eff421205fee,Space Town Hall,event,,"participation and democracy, education and skills, science","collaborative economy, open access, new ways of making, awareness networks","Creating new ways of making space technology with a multi-disciplinary, community skill share approach, supported by online open source code sharing tools. ","open networks, open knowledge, open hardware","online learning models and moocs, open source, social networks",455995cd-f9e3-b7d5-f5cd-02ed34e04c1d,
ba9ff102-0b3e-1050-9902-344dab448442,SODA-Social Open Data,research project,,"work and employment, participation and democracy, culture and arts, energy and environment, neighbourhood regeneration, health and wellbeing","open access, open democracy","Social Open DAta (SODA) represents both a complementary approach and a breakthrough: SODA is the next generation of current social networks. 

The social, economical and environmental details of real communities are conveyed inside the social network. It is based on the assimilation of data coming from low-cost sensors deployed and worn by citizens in houses, workplaces, transportation, public spaces; citizens wear, carry and place sensors as a sign of community commitment. Individual, quantitative contribution is minimal; but collective, qualitative contribution is enormous, because of the ubiquity and capillarity achieved mixing public and private mobile communications infrastructure.

The social network is extended with a new layer featuring efficient access to smart community and city managed data, information and knowledge; both (1) emerging open-data models and (2) integrated development environments (enabling community members to easily create and deploy smart-community applications) play major roles in promoting crowd-sourced services, bottom-up innovation and citizen empowerment.
","open networks, open data, open knowledge","social networks, crowdsourcing, mobile apps, sensors and internet of things, social media",f1e00533-8a3e-8d3e-f2eb-8baac7cd0bb4,
bd08ac9b-b031-02b7-fa0f-9e9143401fbd,NPO_IT,other,,social ict,open access,support NPO,open networks,"crowdsourcing, social networks",8fa35c97-22f8-437e-e764-d99e9ddf363f,
eb07cd77-7f82-30c6-1ec5-d4a65d714f23,essay writing service,education and training,essayltd.com,education and kills,open democracy,education,open networks,writing,a394021a-039d-d7a6-3116-3a052f7a36ec,
fbeb12a3-4d0c-df8d-9b1f-5b532b3a9c98,Crowdfunding,advocating and campaigning,,,collaborative economy,,,,,
4abd4abd-0a48-496d-63e9-15fc09354e39,Post-car(d) Urbanism,research project,,"participation and democracy, energy and environment",open democracy,"Post-Car(d) Urbanism aims to:
Integrate advanced approaches from strategic planning, urban design, simulation and the creative arts to produce relevant policy insights
Generate new knowledge for sustainable urbanism with potential for public participation and motivation
Use creative arts to visualise future post-automobile environments for the general public, making post cards from the future to encourage public discussion and debate
Bridge gaps between the scientific fields of urban morphology, transport research, planning theory, urban economy and urban sociology
Explore plausible pathways towards car-independence, highlighting major relevant contextual factors and key policy levers
Formulate evidence-based policy and design objectives that will support proactive transitions towards a positive car free future
Add to the international body of research on sustainability and climate change and further develop ongoing research at KTH on urban sustainability and walkability",open knowledge,crowdsourcing,5e5a8ed6-f167-fc27-c454-7e2b010a5894,
15530278-a447-e9ad-7d24-6ccfe2870672,Energizing Urban Ecosystems,research project,rym.fi,"education and skills, work and employment, culture and arts, finance and economy, science, energy and environment","new ways of making, awareness networks, collaborative economy",European forerunner as an innovation ecosystem,open knowledge,regional information modelling,e07fde19-5e4e-a5a2-e433-e365971654f8,12/1/2015
ceccc242-9711-ee26-e706-1fe6700eb9a8,eZaintza: Solucion tecnologica movil de apoyo a los cuidadores y ayuda a personas con problemas de orientacion tempo-espacial para mejorar su autonomia,research project,,"ageing, teleassistance, science, support to caregivers, health and wellbeing, independent living",open access,Support to caregivers around elderly people and independent living for older adults. Assurance for caregivers and families.,open networks,"personal monitoring, accessibility, mobile apps, geotagging, online notice board",226ba9e7-53c6-774a-1523-3f6b7eecaf88,
f37f2433-2713-eba8-0b88-2593f4389f1b,Open laboratory Hack For Future,event,,"education and skills, open data, accessibility","new ways of making, open access","Hack For Future community is a platform where people from different fields can meet and accumulate their knowledge to implement ideas that can be difficult to embody separately. 

Most of projects grown up during Hack For Future meetups connected with accessibility: volunteers created accessibility map of Minsk, built 3D-printer Mendel Prusa and with its help 3D-models of historical buildings and touristic programs for blind people, metro accessibility map and mobile app ect. Another sphere of activity is an open data. First open data portal was created and developes now by Hack For Future community. ","open hardware, open knowledge, open networks, open data","crowdsourcing, social networks, mobile apps, open data, open source, crowdfunding, 3d printing",369397b6-039a-9530-92b3-7e1a2628bb4d,
f5102c71-fee1-8db4-71f0-3950edfac39a,Multimedia and digital game design,education and training,www.dimeco.org.uk,"education and skills, work and employment, culture and arts, energy and environment",open democracy,"We developed environmental game ""Save Our World"" that is been used in Colleges, schools and libraries.

Our 'Digital Creativity"" course also empowered long term unemployed to gain jobs.","open networks, open knowledge","social media, personal monitoring, machine learning, social networks, online learning models and moocs",f711ea9c-df58-3457-6e3c-6e57971393b2,12/1/2016
96f95c92-73ef-b095-a14b-76a678fbc8c8,FabSchool,event,fabschool,"education and skills, science, culture and arts",new ways of making,"To find out how to change the educational system to meet the requirement for the new society.
Research into implementing the Fablab-methods in education.","open knowledge, open hardware","3d printing, open source, personal monitoring",f1dc6274-422f-d83b-e3c5-261f562cf411,12/1/2016
3b94c27b-5255-4e49-d45b-874b1aa79399,Learning to code,education and training,,"education and skills, social entrepreneurs, work and employment, participation and democracy",new ways of making,"Underprivileged people
Social entrepreneurs
""Change the world"" apps","open knowledge, open hardware, open data, open networks","online peer support, open data, crowdsourcing, online learning models and moocs, social media, 3d printing, sensors and internet of things",aad99429-e409-e8b1-c1f1-febafb8487ec,
aa75603f-3865-3d2a-ca41-6f51a0b2db34,PIPES,delivering a web service,,"health and wellbeing, culture and arts, new technologies",open access,The project targets an outstanding achievement in producing participatory communication scenarios for wide audiences. ,"open knowledge, open data","open data, online learning models and moocs",f22d09f7-7cb8-6f96-3693-a004d1591843,
545d4f3d-029f-2acc-639d-b9fb776b86dc,FuturICT,advocating and campaigning,,"science, education and skills",,-,open data,"machine learning, crowdmapping, mobile apps",9d899871-e02a-3858-912f-273903c4f52f,3/1/2015
dc9c506c-dd69-5794-b7cc-855cf8265c0f,Musine Kit,education and training,www.alamuse.com,"culture and arts, education and skills",,"La Muse en Circuit have a large experience in educational programs and professionnal teaching. We directly work with about 150 teachers and 400 children per year. And each teacher who use our tools is working with a lots of pupils.
It's a kind of pyramidal impact.",open knowledge,machine learning,26b9f575-e856-8ed1-77f0-400c89508056,9/1/2015
2c4549bc-f118-70ef-5676-4c0050e9f255,Ateneus de Fabricacio,maker and hacker spaces,,"culture and arts, participation and democracy, energy and environment, neighbourhood regeneration, finance and economy, education and skills","new ways of making, collaborative economy","Co creation
social innovation
tech education collaborative economy

this year more than 60 activities in the 2 available ateneus de fabricacio (fablabs) , conforming the network","open networks, open knowledge, open hardware","sensors and internet of things, open source, 3d printing",ccffb446-ef6c-1b47-c6bc-5d5d9aa6f3ff,
6ab75a9f-78d9-cc01-734e-0c18864ccd8a,Pro bono,delivering a web service,Www.givewhatyouregoodat.co.uk,"energy and environment, neighbourhood regeneration, finance and economy, health and wellbeing, culture and arts, participation and democracy, education and skills",collaborative economy,Building the capacity of non-profits. ,open networks,"p2p   distributed exchange networks, online market place, social networks",f0ea0fd3-4153-5b07-6e02-0b54021bcb9c,
eeb27f95-6a14-74d7-e68c-d84aa7d46275,Asili e benessere,event,asili-e-benessere,asili e benessere,,Miglioramento del benessere dei bambini,open knowledge,social networks,b86309da-007e-4a4a-ec6b-66bca49b015d,
7931de4b-b805-3ba7-4263-5a71d48ab976,CHEST Community,network,www.chest-project.eu,"finance and economy, energy and environment, science, health and wellbeing, work and employment, participation and democracy, neighbourhood regeneration, education and skills, culture and arts","open democracy, funding acceleration and incubation, open access, new ways of making, awareness networks, collaborative economy","CHEST will invest up to  2.5 Million seed finance for Digital Social Innovations. CHEST will launch three open funding rounds. Across all three calls, Social Entrepreneurs will be invited to propose new ideas for evaluation. The financial support given to successful applicants ranges from  6.000 in round 1 for the initial idea development and  60.000 in round 3 for the implementation of a prototype to  150.000 in round 2 for the development of a market ready product or service.","open data, open networks, open knowledge, open hardware","social media, 3d printing, big data, e petitions, mobile apps, open data, crowdsourcing, p2p   distributed exchange networks, crowdfunding, geotagging, online market place, online learning models and moocs, crowdmapping, social networks, machine learning, online peer support, open source, personal monitoring, sensors and internet of things, online notice board",d24cb37b-382b-61d6-7b45-4d57164535cf,3/1/2016
535de8a9-180f-6133-cdde-c9eda88b3fae,Cleaning Day,event,,"neighbourhood regeneration, participation and democracy, finance and economy, culture and arts, energy and environment",collaborative economy,"We are promoting recycling, second hand culture, upcycling, more free, responsible and communal city culture. The event has become really popular all over Finland and has already changed people views about their surroundings and consuming.","open data, open networks, open knowledge","online market place, sensors and internet of things, social networks, crowdmapping, mobile apps, social media, p2p   distributed exchange networks",7443b009-8753-658f-6b72-34e9ed68e49c,
4c22dcf6-bbda-3c9c-1a84-badc70bbc2b6,Open Data Erasmus,network,,"finance and economy, education and skills, participation and democracy, energy and environment, work and employment","awareness networks, collaborative economy",Creating an environment for exchange of best practice amongst open data and civil society organisations in Europe,open data,"online peer support, open data, online market place, online notice board",e9b41a76-a4d7-7649-ade6-cabcb2a868c0,
7aa7aa4f-c1bb-c35c-2e85-273373c259d2,The Social Bookmarking Site: Its definition and advantages,bookmarking,,bookmarking sites,open access,We offering some bookmaring sites which you do not need to register and some you need to register..,open data,yes,b6b0e647-8374-9352-07e3-55fc13a5ec22,12/1/2016
74f34312-274e-a5d4-5a27-990ce5d9f530,Digital Skills Development for Young People,delivering a web service,,"work and employment, participation and democracy, skills development, youth empowerment","open democracy, awareness networks, new ways of making","To equip young people with digital skills.

To promote opportunities generally available to young people in Calderdale. To reduce social isolation and encourage participation.

Very Active social media networks. 

Creation of youth orientated events calendar.

Linked numerous young people with opportunities in Calderdale for example young writers with library projects. Young reporters with events across the region. 

Delivery of workshops for National Youth Conference. 

Reportage from 'Youth Voice' organisations and regular updates from Member for Youth Parliament. ",open knowledge,"social networks, social media",789aca97-ddac-d93b-21bb-847478c6fcd3,
09f36d7a-521f-3f40-d154-a271aa9bfe62,Online Education Merge,education and training,help-with-dissertation-proposal.aspx,finance and economy,open access,Financial opporitunities,open data,social media,ea0d4405-5ca5-1b07-fcf4-0870b4a5d37d,9/1/2020
19d4d7b2-9eb8-33bb-d14f-027a1cc5999e,Deep Dialogue,delivering a web service,,"work and employment, innovation, education and skills","awareness networks, collaborative economy, new ways of making",Individuals and teams are more innovative when they connect with their inner source. This connection can be stimulated when we see how we act on an emotional level.,open data,emotion analytics,f026f3f1-9e79-1aa6-e1e3-c46737baba1c,
5717fc93-4ae3-7303-b559-88830eb8d6e0,iot & build environment conference,event,www.iotrotterdam.eu,"architecture, participation and democracy, internet of things",new ways of making,FET)research programs.,open networks,"3d printing, sensors and internet of things, digital manufacturing, open data",e1c0cce2-8b5c-3d9e-7bab-a4efc4654ce3,4/1/2014
0b7893fe-0446-6a93-9a27-916dae561cbe,CivicFlow,delivering a web service,,participation and democracy,,"The ultimate impact of CivicFlow will be to to improve government decision-making processes, make information easier to access for citizens , and offer more opportunities for citizens to actively contribute to matters that affect their daily lives.
",open knowledge,"big data, sensors and internet of things, mobile apps, crowdsourcing",cf2c06fe-a365-593e-4ac8-7a263689f8ee,
bef4703c-4199-ec08-cbfb-e600ffd92baa,Metro4All,delivering a web service,metro4all.org,"participation and democracy, health and wellbeing, transport","new ways of making, awareness networks, open access","Metro4All project is about crowdmapping of metro systems with focus on barriers and accessibility details (such as width and slope of passages, availability of elevators, ramps, etc.). 
The project not only provides for creation of new open datasets and open-source applications, but also raises public awareness about the transport accessibility issues, which is confirmed by 20+ press publications in 3 countries and growing number of participants and partner organisations.","open data, open knowledge","geotagging, crowdmapping, mobile apps, open data, web apps, open source, crowdsourcing",d70ac885-5f25-5216-0668-f16abeea0b15,
09520489-d7b9-9bb4-26f6-ce43445e7907,Atlas de Ciencias Sociales y Humanidades Digitales,research project,atlascshd.org,"humanities, culture and arts, social sciences",awareness networks,"The Atlas is the reference repository and network for getting to know researchers, projects and centers working in Digital Social Sciences and Humanities in Spanish and Portuguese (among other latin languages).","open networks, open data","social networks, geotagging",ae61fece-d874-be26-ffc4-e45e7db0e42c,
1d7b71cb-0502-e48d-eeed-c0e570e67ba3,ongimedia ,advocating and campaigning,www.ongimedia.org,"citizen empowerment, participation and democracy",awareness networks,Citizen empowerment ,open networks,"social media, social learning, blogging  online courses",41639064-af47-ffb9-14c8-e7ab45710237,2/1/2016
e0880fa6-be10-92f5-2a5e-791a148f1431,Student Pulse,delivering a web service,studentpulselondon,"education and skills, culture and arts, access to arts, student community",awareness networks,"More awareness and easier (and cheaper) access to a wider range of cultural events. Savings for the participating parties (orchestras, venues) by using the shared services.",open data,"mobile and web application ios and android, html5",d57a4a53-16a2-890d-df80-871c3aa35454,
6ddad97a-ece7-3256-a78f-d8e6f91092eb,Smart Volta,network,www.smartvolta.com,"neighbourhood regeneration, health and wellbeing, energy and environment, culture and arts","open access, collaborative economy, funding acceleration and incubation, awareness networks, new ways of making","ideas that help create smart cities and make them more liveable and sustainable. 

We contribute to expand the work of eco producers based in Europe and all over the world. Working locally, sharing working spaces, dealing  with new technology that enhances them to produce their goods and selling them,and making from that their living. 

We consider ourselves an awareness network. As a digital platform for collaboration, our contents originate from our global contributors.

Our main goal is allow the user to also produce content , with an open Access Ecosystem approach that has the potential to empower citizens and increase participation. 
",open knowledge,"social media, p2p   distributed exchange networks, online market place, geotagging, social networks, mobile apps",b4307071-0630-8a5c-b3f0-e155163e2312,12/1/2020
226396c9-cb9d-d372-24c1-543cdd2e36bb,Azul Caramelo ,events education promoting artists ,,"culture and arts, education and skills, work and employment, neighbourhood regeneration","open democracy, funding acceleration and incubation, awareness networks, new ways of making, collaborative economy, open access","We put in contact some famous illustrators in contact with everyone. Students, young freelancers and ordinary people. We try to make partnership with some industries and show how is the relation between criators and industry. 
Make possible to every creator contact with industry. We will make a website with a list of europe industries that are open to work with designers and all kind of creators in small scale, and traditional artysan to. 
Every artisan or small industry can provide contacts, expertise and clients feedback.
This list will be creat by us and all community.
",open knowledge,"online notice board, mobile apps, social networks, online market place, personal monitoring, social media, online learning models and moocs",fb49bbb7-620a-72c5-894b-b03dda8ca92a,
087e3c2c-ebec-28f8-7ea7-f0a0d3b3f500,London Fusion,education and training,,"communities, creative industries, education and skills, startups, culture and arts","collaborative economy, awareness networks, funding acceleration and incubation", third sector services.,"open knowledge, open networks","p2p   distributed exchange networks, open source, social media, social networks",2f0f37ba-c51d-efc2-c3b2-3e9d0468cff5,10/1/2014
f12cd2fd-3060-6fa3-5d99-4f54704e08cb,Confidence,research project,www.confidence4you.eu,health and wellbeing,,can automatically or manually be activated if needed. Confidence starts at this point and supports people with dementia to remain active and mobile. It helps them to handle their daily routines by themselves while their relatives know that there is a safety net.,open networks,"online peer support, social networks, mobile apps",1ea89d3b-0e79-8adc-1f0e-a2ad6779d19c,
5a1bcf4a-47cc-9b01-53be-8a7807decb07,CATI - Computer Aided Trust Internet,delivering a web service,www.ICSRoscher.de,"health and wellbeing, education and skills, science, work and employment, neighbourhood regeneration, participation and democracy","open democracy, new ways of making, awareness networks, collaborative economy","CATI - Computer Aided Trust Internet
CATI is designed as user friendly and trust Computer Aided Solution. Each user and his communication in CATI must be trust. CATI offers a new quality for trust communication. The CATI will be able to understand written and spoken natural language. CATI is realized in the first step in a closed region with well-known users. Each user of CATI is registered and accepted as RAN (Registrierter und akzeptierter Nutzer). Each RAN is supervised by the CATI by using the passport and biometrical data (fingerprint, face, iris etc.) in the dynamic. CATI is supervised by a judge and his department (CATI-J). This organization is free and democratic elected by the users in CATI. All data in CATI are stored however confidentially. Only the CATI-J is able to open the access to the stored data in case of possible crime actions, notified by a RAN. ","open networks, open knowledge, open data","social networks, personal monitoring, sensors and internet of things, social media, big data",8b7b69cb-12c8-b47c-54bc-da0c9a7a536d,
0ecb58de-e83f-9cf1-b872-cc367d47b69a,The Wikirate Project,delivering a web service,wikirate.eu,"ethical business, sustainability, participation and democracy, open knowledge",open democracy,Enable information engagement; develop rating criteria for companies; affect consumer perceptions by bringing wider incentives to bear around purchasing. ,"open data, open networks, open knowledge","wiki platform, collaborative editing, crowdsourcing, open source, open data, semantic tagging",0238d8b0-95e2-20da-fab4-4cfda6996259,
d53ea980-1424-24bf-490b-d47c4e540eca,social media search,network,,"education and skills, finance and economy, work and employment, culture and arts, energy and environment, health and wellbeing, science, participation and democracy","funding acceleration and incubation, open access, collaborative economy, new ways of making, awareness networks, open democracy",spreading free media thru internet,"open networks, open hardware, open knowledge, open data","machine learning, social networks, online learning models and moocs, 3d printing, crowdsourcing, open source, online peer support, open data, big data, crowdmapping, mobile apps, e petitions, social media, geotagging, online market place, online notice board, sensors and internet of things, crowdfunding, p2p   distributed exchange networks, personal monitoring",5d82bf57-8e31-4782-2d7d-14a07ea0655a,
52749040-7a24-410d-4a36-6a308eee0036,The Forgotten Box,investment and funding,the-forgotten-box.html,"neighbourhood regeneration, education and skills, participation and democracy, culture and arts",,The Impact of this activity revolves around the increase in outreach of museums. Furthermore the activity aims to build a business method that would generate maintenance and development money for the further implementation of the activity.,open data,"social media, social networks, mobile apps",85e17f1a-0d4e-02bb-7f42-3e671636e24e,11/1/2016
147be498-8135-c078-6542-4a619923c7a4,soquiz.com,education and training,www.soquiz.com,"culture and arts, education and skills, work and employment",,Providing expert tools at very low cost for teachers and students.,open knowledge,"p2p   distributed exchange networks, social networks, online learning models and moocs",7bc3af26-b69c-7c93-312e-d68b28abbb6a,
938d9b7f-8508-7d6d-ad92-ec20363af68d,Supporting and Funding Digital Social Innovation in the Northern Ireland Third Sector,investment and funding,social-innovation,any,"open democracy, collaborative economy",Haven't started yet,"open data, open knowledge",any,6b6939be-b53d-db0c-aa4e-7e1bc526e2e4,12/1/2018
42e7548e-fdb8-5460-b392-a4b51e71b23a,Nomad of the Seas,research project,www.nomadedesmers.org,"social, environment, science",new ways of making,"Impact on the BOP community : access to basic needs, economic opportunities, jobs, healthier environment
Impact on inhabitants of city and country rich countries : healthier environment, social links, savings","open networks, open data, open knowledge",crowdsourcing,1ca2cc6f-16cd-027f-493a-7b939e677004,12/1/2017
